neo_item_id,neo_name,neo_date,diameter_min_km,diameter_max_km,is_hazardous,apod_id,apod_title,apod_date,apod_url,match_type,match_score
65,85990 (1999 JV6),2015-01-05,0.2347226375,0.5248557734,1,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
66,523915 (1997 VM4),2015-01-05,0.5135171787,1.1482593191,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
67,(2004 XG29),2015-01-05,0.0196134944,0.0438571068,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
68,(2008 RU),2015-01-05,0.0880146521,0.1968067451,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
69,(2012 FO52),2015-01-05,0.0791689667,0.1770271912,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
70,(2013 BM76),2015-01-05,0.2379879547,0.5321572445,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
71,(2017 FU101),2015-01-05,0.0071871213,0.0160708919,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
72,(2018 DZ1),2015-01-05,0.0291443905,0.0651688382,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
73,(2019 CR4),2015-01-05,0.0139493823,0.0311917671,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
74,(2021 GL7),2015-01-05,0.0421264611,0.0941976306,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
75,(2021 XM),2015-01-05,0.0096506147,0.0215794305,0,5,"A Fox Fur, a Unicorn, and a Christmas Tree",2015-01-05,https://apod.nasa.gov/apod/image/1501/conefox_colombari_960.jpg,date_match,1.000
76,434007 (2000 VH61),2015-01-06,0.5182686946,1.1588840318,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
77,481442 (2006 WO3),2015-01-06,0.1283970296,0.2871044863,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
78,(2000 AE205),2015-01-06,0.0576175751,0.1288368146,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
79,(2004 SC56),2015-01-06,0.0766575574,0.1714115092,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
80,(2014 QT362),2015-01-06,0.1925550782,0.4305662442,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
81,(2015 BY509),2015-01-06,0.1010543415,0.2259643771,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
82,(2017 XM2),2015-01-06,0.0384197891,0.0859092601,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
83,(2020 BT2),2015-01-06,0.0490405098,0.1096579137,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
84,(2021 YJ),2015-01-06,0.2783267681,0.6223575734,1,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
85,(2022 PX),2015-01-06,0.0368599699,0.0824213984,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
86,(2022 WX2),2015-01-06,0.042320908,0.0946324271,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
87,(2015 DA363),2015-01-06,0.0576175751,0.1288368146,0,6,100 Million Stars in the Andromeda Galaxy,2015-01-06,https://apod.nasa.gov/apod/image/1501/m31PHAT_hubble_2016.jpg,date_match,1.000
88,(2010 RE31),2015-01-07,0.0175612318,0.0392681082,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
89,(2015 BE4),2015-01-07,0.0483676488,0.1081533507,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
90,(2015 BD4),2015-01-07,0.0253837029,0.0567596853,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
91,(2019 QZ),2015-01-07,0.0167708462,0.0375007522,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
92,(2019 RH2),2015-01-07,0.0222103282,0.0496638037,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
93,(2021 TL),2015-01-07,0.052547853,0.1175005715,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
94,(2023 MH4),2015-01-07,0.0114433973,0.0255882143,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
95,(2024 AW3),2015-01-07,0.1181829909,0.2642652014,0,7,Hubble 25th Anniversary: Pillars of Creation,2015-01-07,https://apod.nasa.gov/apod/image/1501/m16pillarsHSTvis1024.jpg,date_match,1.000
96,343098 (2009 DV42),2015-01-08,0.4926687055,1.1016407159,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
97,(2010 AN61),2015-01-08,0.0105816886,0.023661375,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
98,(2012 AC11),2015-01-08,0.1087814834,0.2432427915,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
99,(2013 AF53),2015-01-08,0.0133215567,0.0297879063,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
100,(2015 AA45),2015-01-08,0.0384197891,0.0859092601,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
101,(2015 XF55),2015-01-08,0.02658,0.0594346868,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
102,(2016 JL38),2015-01-08,0.0192555078,0.0430566244,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
103,(2016 RW),2015-01-08,0.0595052079,0.1330576898,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
104,(2018 CZ1),2015-01-08,0.0319561887,0.0714562102,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
105,(2020 XL1),2015-01-08,0.0055533491,0.0124176661,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
106,(2021 AG6),2015-01-08,0.0111829138,0.0250057554,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
107,(2021 BV1),2015-01-08,0.0065849878,0.0147244804,0,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
108,(2023 XW14),2015-01-08,0.138852907,0.310484539,1,8,Stars and Dust in Corona Australis,2015-01-08,https://apod.nasa.gov/apod/image/1501/NGC6726_c23schedler.jpg,date_match,1.000
264,(2011 GO27),2025-12-02,0.4212646106,0.9419763057,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
265,(2017 EC3),2025-12-02,0.0840533402,0.1879489824,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
266,(2018 WC2),2025-12-02,0.02658,0.0594346868,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
267,549328 (2011 GO27),2025-12-02,0.4232090797,0.9463242708,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
268,(2022 EQ2),2025-12-02,0.0407901194,0.0912094798,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
269,(2025 US6),2025-12-02,0.0016709174,0.0037362848,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
270,(2025 VC5),2025-12-02,0.0240522094,0.0537823753,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
271,(2025 WG),2025-12-02,0.0126868842,0.0283687355,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
272,(2025 WG8),2025-12-02,0.0364044921,0.0814029191,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
273,(2025 WW9),2025-12-02,0.0477259934,0.1067185655,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
274,(2025 WC16),2025-12-02,0.0216747939,0.0484663126,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
275,(2011 GO27),2025-12-02,0.4212646106,0.9419763057,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
276,(2017 EC3),2025-12-02,0.0840533402,0.1879489824,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
277,(2018 WC2),2025-12-02,0.02658,0.0594346868,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
278,549328 (2011 GO27),2025-12-02,0.4232090797,0.9463242708,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
279,(2022 EQ2),2025-12-02,0.0407901194,0.0912094798,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
280,(2025 US6),2025-12-02,0.0016709174,0.0037362848,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
281,(2025 VC5),2025-12-02,0.0240522094,0.0537823753,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
282,(2025 WG),2025-12-02,0.0126868842,0.0283687355,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
283,(2025 WG8),2025-12-02,0.0364044921,0.0814029191,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
284,(2025 WW9),2025-12-02,0.0477259934,0.1067185655,0,1366,M77: Spiral Galaxy with an Active Center,2025-12-02,https://apod.nasa.gov/apod/image/2512/M77_Hubble_960.jpg,date_match,1.000
